Date,Close
28 08 2015,513.9749756
31 08 2015,513.7249756
01 09 2015,500.0499878
02 09 2015,497.5750122
03 09 2015,505.1499939
04 09 2015,498.0249939
07 09 2015,492.2250061
08 09 2015,502.0249939
09 09 2015,508.1499939
10 09 2015,505.5
11 09 2015,505.25
14 09 2015,509.8500061
15 09 2015,506.5750122
16 09 2015,511.6749878
18 09 2015,524.875
21 09 2015,526.4749756
22 09 2015,515.3250122
23 09 2015,524.5999756
24 09 2015,525.7000122
28 09 2015,523.2000122
29 09 2015,532.4000244
30 09 2015,534.4000244
01 10 2015,533.8250122
05 10 2015,549.1749878
06 10 2015,542.9749756
07 10 2015,543.875
08 10 2015,541.5499878
09 10 2015,543.0750122
12 10 2015,540.2750244
13 10 2015,538.1749878
14 10 2015,542.375
15 10 2015,542.0750122
16 10 2015,550.0250244
19 10 2015,548.9000244
20 10 2015,547.4500122
21 10 2015,547.5
23 10 2015,554.25
26 10 2015,550.75
27 10 2015,555.4500122
28 10 2015,555.75
29 10 2015,551.7750244
30 10 2015,549.7999878
02 11 2015,541.5499878
03 11 2015,542.4500122
04 11 2015,540.8499756
05 11 2015,539.9249878
06 11 2015,540.4500122
09 11 2015,532.4000244
10 11 2015,527.2999878
13 11 2015,526.0250244
16 11 2015,530.4749756
17 11 2015,530.4000244
18 11 2015,524.2999878
19 11 2015,534.4500122
20 11 2015,535.4249878
23 11 2015,533.0250244
24 11 2015,532.1749878
26 11 2015,531.9749756
27 11 2015,539.7000122
30 11 2015,538.875
01 12 2015,541.5
02 12 2015,538.9000244
03 12 2015,538.375
04 12 2015,529.4500122
07 12 2015,530.9749756
08 12 2015,524.625
09 12 2015,523.7249756
10 12 2015,530.2999878
11 12 2015,523.1749878
14 12 2015,527.5250244
15 12 2015,529.7249756
16 12 2015,533.6500244
17 12 2015,540.125
18 12 2015,536.5
21 12 2015,537.7000122
22 12 2015,533.2249756
23 12 2015,537.0499878
24 12 2015,537
28 12 2015,538.625
29 12 2015,538.9749756
30 12 2015,537.1500244
31 12 2015,541.0750122
01 01 2016,544.375
04 01 2016,535.25
05 01 2016,531.2000122
06 01 2016,533.5499878
07 01 2016,528.0999756
08 01 2016,531.1749878
11 01 2016,529.2999878
12 01 2016,523.4749756
13 01 2016,530.0750122
14 01 2016,524.875
15 01 2016,521.0750122
18 01 2016,512.9249878
19 01 2016,517.9000244
20 01 2016,509.1499939
21 01 2016,511.5
22 01 2016,515.1500244
25 01 2016,520.5750122
27 01 2016,517.8250122
28 01 2016,515.8499756
29 01 2016,524.9249878
01 02 2016,529.875
02 02 2016,526.9000244
03 02 2016,521.9249878
04 02 2016,524.5999756
05 02 2016,527.625
08 02 2016,517.9249878
09 02 2016,513.0250244
10 02 2016,506.4750061
11 02 2016,487.6499939
12 02 2016,485.7000122
15 02 2016,486.7999878
16 02 2016,486.7250061
17 02 2016,487.4500122
18 02 2016,494.7250061
19 02 2016,494.6499939
22 02 2016,494.375
23 02 2016,485.0249939
